# 어절\t어절의 분석결과
# 사이는 '\t'로 구분
# "# "으로 시작하는 라인은 주석처리 됨
것이다.	것/NNB+이/VCP+다/EF+./SF
사라진	사라지/VV+ㄴ/ETM
정신에	정신/NNG+에/JKB
공직자의	공직자/NNG+의/JKG
일으키고	일으키/VV+고/EC
일이지만	일/NNG+이/VCP+지만/EC
무엇인가.	무엇/NP+이/VCP+ㄴ가/EF+./SF
나무의	나무/NNG+의/JKG
풀리지	풀리/VV+지/EC
감정의	감정/NNG+의/JKG
부모에게	부모/NNG+에게/JKB
가지지	가지/VV+지/EC
것}이라며	것/NNB+}/SS+이/VCP+라며/EC
자료에	자료/NNG+에/JKB
어울리지	어울리/VV+지/EC
민족은	민족/NNG+은/JX
이용,	이용/NNG+,/SP
하루는	하루/NNG+는/JX
전국구	전국구/NNG
작성한	작성/NNG+하/XSV+ㄴ/ETM
할까.	하/VV+ㄹ까/EF+./SF
不正腐敗를	不正腐敗/SH+를/JKO
마찬가지이다.	마찬가지/NNG+이/VCP+다/EF+./SF
일시에	일시/NNG+에/JKB
안된다고	안/MAG+되/XSV+ㄴ다고/EC
유지하기	유지/NNG+하/XSV+기/ETN
파악하는	파악/NNG+하/XSV+는/ETM
격렬한	격렬/XR+하/XSA+ㄴ/ETM
전략을	전략/NNG+을/JKO
거요.	거/NNB+이/VCP+오/EF+./SF
제도에	제도/NNG+에/JKB
이제야	이제야/MAG
날,	날/NNG+,/SP
올해도	올해/NNG+도/JX
1980년	1980/SN+년/NNB
단호한	단호/XR+하/XSA+ㄴ/ETM
그쳐	그치/VV+어/EC
깊게	깊/VA+게/EC
찾아보기	찾아보/VV+기/ETN
과일	과일/NNG
이념의	이념/NNG+의/JKG
개정	개정/NNG
울음을	울음/NNG+을/JKO
가문	가문/NNG
여성은	여성/NNG+은/JX
온몸이	온몸/NNG+이/JKS
도입을	도입/NNG+을/JKO
적절하게	적절/XR+하/XSA+게/EC
찾았다.	찾/VV+았/EP+다/EF+./SF
소비자	소비자/NNG
한다}고	하/VX+ㄴ다/EC+}/SS+고/JKQ
ㄷ.	ㄷ/NNG+./SF
한·일	한/NNP+·/SP+일/NNP
보였던	보이/VV+었/EP+던/ETM
떨어지고	떨어지/VV+고/EC
역점을	역점/NNG+을/JKO
손실을	손실/NNG+을/JKO
먹어	먹/VV+어/EC
맑음	맑/VA+음/ETN
바뀐	바뀌/VV+ㄴ/ETM
[나는	[/SS+나/NP+는/JX
몸의	몸/NNG+의/JKG
대안을	대안/NNG+을/JKO
따르면,	따르/VV+면/EC+,/SP
맡겨	맡기/VV+어/EC
일어섰다.	일어서/VV+었/EP+다/EF+./SF
프랑스는	프랑스/NNP+는/JX
대상은	대상/NNG+은/JX
내세우고	내세우/VV+고/EC
묻혀	묻히/VV+어/EC
배에	배/NNG+에/JKB
여권의	여권/NNG+의/JKG
벽을	벽/NNG+을/JKO
보수	보수/NNG
높일	높이/VV+ㄹ/ETM
거부하고	거부/NNG+하/XSV+고/EC
산으로	산/NNG+으로/JKB
사용을	사용/NNG+을/JKO
날에	날/NNG+에/JKB
터였다.	터/NNB+이/VCP+었/EP+다/EF+./SF
노력	노력/NNG
뛰는	뛰/VV+는/ETM
듣기	듣/VV+기/ETN
이전에는	이전/NNG+에/JKB+는/JX
따를	따르/VV+ㄹ/ETM
취임	취임/NNG
것이지만,	것/NNB+이/VCP+지만/EC+,/SP
친족의	친족/NNG+의/JKG
후보를	후보/NNG+를/JKO
강신애의	강신애/NNP+의/JKG
만물상	만물상/NNG
검토하고	검토/NNG+하/XSV+고/EC
오늘부터	오늘/NNG+부터/JX
징역	징역/NNG
없으므로	없/VA+으므로/EC
질적	질/NNG+적/XSN
수출의	수출/NNG+의/JKG
잡힌	잡히/VV+ㄴ/ETM
짧게	짧/VA+게/EC
주워	줍/VV+어/EC
정신없이	정신없이/MAG
대비,	대비/NNG+,/SP
찍은	찍/VV+은/ETM
쪽의	쪽/NNB+의/JKG
지원이	지원/NNG+이/JKS
단계에서	단계/NNG+에서/JKB
꺼내어	꺼내/VV+어/EC
시스템	시스템/NNG
기술에	기술/NNG+에/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF
정상	정상/NNG
인상	인상/NNG
으레	으레/MAG
잡기	잡/VV+기/ETN
나타나게	나타나/VV+게/EC
왕은	왕/NNG+은/JX
사태	사태/NNG
사흘	사흘/NNG
생명	생명/NNG
성당	성당/NNG
살지	살/VV+지/EC
기운이	기운/NNG+이/JKS
사목	사목/NNG
치밀한	치밀/XR+하/XSA+ㄴ/ETM
비밀을	비밀/NNG+을/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
수사가	수사/NNG+가/JKS
살았다.	살/VV+았/EP+다/EF+./SF
최후의	최후/NNG+의/JKG
국회는	국회/NNG+는/JX
헛된	헛되/VA+ㄴ/ETM
시대는	시대/NNG+는/JX
하듯	하/VV+듯/EC
프로	프로/NNG
활용	활용/NNG
단계를	단계/NNG+를/JKO
추진해	추진/NNG+하/XSV+아/EC
그러지	그러/VV+지/EC
힘써	힘쓰/VV+어/EC
지시를	지시/NNG+를/JKO
규범을	규범/NNG+을/JKO
수요가	수요/NNG+가/JKS
정치자금	정치/NNG+자금/NNG
대가를	대가/NNG+를/JKO
제외하고	제외/NNG+하/XSV+고/EC
소희의	소희/NNP+의/JKG
지적이다.	지적/NNG+이/VCP+다/EF+./SF
폭을	폭/NNG+을/JKO
폭이	폭/NNG+이/JKS
면모를	면모/NNG+를/JKO
계획은	계획/NNG+은/JX
교양을	교양/NNG+을/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
즐겁게	즐겁/VA+게/EC
극복하고	극복/NNG+하/XSV+고/EC
아버지도	아버지/NNG+도/JX
여겨진다.	여기/VV+어/EC+지/VX+ㄴ다/EF+./SF
경제적으로	경제/NNG+적/XSN+으로/JKB
취급을	취급/NNG+을/JKO
죽이는	죽이/VV+는/ETM
주장도	주장/NNG+도/JX
명의로	명의/NNG+로/JKB
무대에	무대/NNG+에/JKB
결정할	결정/NNG+하/XSV+ㄹ/ETM
정책은	정책/NNG+은/JX
끄덕였다.	끄덕이/VV+었/EP+다/EF+./SF
말이었다.	말/NNG+이/VCP+었/EP+다/EF+./SF
읽었다.	읽/VV+었/EP+다/EF+./SF
총리는	총리/NNG+는/JX
부처님의	부처/NNP+님/XSN+의/JKG
놀라지	놀라/VV+지/EC
받기도	받/VV+기/ETN+도/JX
정하고	정하/VV+고/EC
비행기	비행기/NNG
실천에	실천/NNG+에/JKB
겉으로	겉/NNG+으로/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
개발,	개발/NNG+,/SP
3)	3/SN+)/SS
유명하다.	유명/XR+하/XSA+다/EF+./SF
요구된다.	요구/NNG+되/XSV+ㄴ다/EF+./SF
한·미·일	한/NNP+·/SP+미/NNP+·/SP+일/NNP
감당할	감당/NNG+하/XSV+ㄹ/ETM
뜻	뜻/NNG
뜬	뜨/VV+ㄴ/ETM
책으로	책/NNG+으로/JKB
1조	1/SN+조/NR
가능케	가능/XR+하/XSA+게/EC
{이	{/SS+이/MM
양국의	양국/NNG+의/JKG
해결해야	해결/NNG+하/XSV+아야/EC
어김없이	어김없이/MAG
절실히	절실히/MAG
사실이었다.	사실/NNG+이/VCP+었/EP+다/EF+./SF
창문을	창문/NNG+을/JKO
나서고	나서/VV+고/EC
밤마다	밤/NNG+마다/JX
예로부터	예/NNG+로부터/JKB
가문의	가문/NNG+의/JKG
작품에	작품/NNG+에/JKB
간절한	간절/XR+하/XSA+ㄴ/ETM
같아서	같/VA+아서/EC
하늘의	하늘/NNG+의/JKG
각자가	각자/NNG+가/JKS
전달하는	전달/NNG+하/XSV+는/ETM
계기를	계기/NNG+를/JKO
아버지께서	아버지/NNG+께서/JKS
사라졌다.	사라지/VV+었/EP+다/EF+./SF
자세는	자세/NNG+는/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF
흑자로	흑자/NNG+로/JKB
90년대	90/SN+년대/NNB
일찌감치	일찌감치/MAG
인연을	인연/NNG+을/JKO
슬그머니	슬그머니/MAG
수창이가	수창이/NNP+가/JKS
여론의	여론/NNG+의/JKG
양식을	양식/NNG+을/JKO
미혜가	미혜/NNP+가/JKS
약점을	약점/NNG+을/JKO
아저씨가	아저씨/NNG+가/JKS
기준	기준/NNG
기자	기자/NNG
국어	국어/NNG
얻어진	얻/VV+어/EC+지/VX+ㄴ/ETM
벗어날	벗어나/VV+ㄹ/ETM
검사	검사/NNG
돌리고	돌리/VV+고/EC
웃으며	웃/VV+으며/EC
겪게	겪/VV+게/EC
온라인	온라인/NNG
고객	고객/NNG
누구보다	누구/NP+보다/JKB
값을	값/NNG+을/JKO
제3의	제/XPN+3/SN+의/JKG
맡았다.	맡/VV+았/EP+다/EF+./SF
역사에	역사/NNG+에/JKB
인도의	인도/NNP+의/JKG
요구한	요구/NNG+하/XSV+ㄴ/ETM
소설은	소설/NNG+은/JX
동생을	동생/NNG+을/JKO
매개로	매개/NNG+로/JKB
바꾼	바꾸/VV+ㄴ/ETM
예정된	예정/NNG+되/XSV+ㄴ/ETM
성실한	성실/NNG+하/XSA+ㄴ/ETM
선언한	선언/NNG+하/XSV+ㄴ/ETM
가르침을	가르침/NNG+을/JKO
부문의	부문/NNG+의/JKG
이리하여	이리하여/MAJ
여건을	여건/NNG+을/JKO
방은	방/NNG+은/JX
내세우는	내세우/VV+는/ETM
어딘가	어디/NP+이/VCP+ㄴ가/EC
부분	부분/NNG
살펴본	살펴보/VV+ㄴ/ETM
만나지	만나/VV+지/EC
사자의	사자/NNG+의/JKG
누릴	누리/VV+ㄹ/ETM
당내	당/NNG+내/NNB
어린이의	어린이/NNG+의/JKG
거부하는	거부/NNG+하/XSV+는/ETM
데로	데/NNB+로/JKB
충분하다.	충분/XR+하/XSA+다/EF+./SF
촉구한다.	촉구/NNG+하/XSV+ㄴ다/EF+./SF
년간	년/NNB+간/NNB
활발하게	활발/XR+하/XSA+게/EC
대책은	대책/NNG+은/JX
덮어	덮/VV+어/EC
앞장서	앞장서/VV+어/EC
기억한다.	기억/NNG+하/XSV+ㄴ다/EF+./SF
평가하는	평가/NNG+하/XSV+는/ETM
제기하는	제기/NNG+하/XSV+는/ETM
1위를	1/SN+위/NNB+를/JKO
대기업의	대/XPN+기업/NNG+의/JKG
지적되고	지적/NNG+되/XSV+고/EC
당당한	당당/XR+하/XSA+ㄴ/ETM
통일의	통일/NNG+의/JKG
질서	질서/NNG
기초한	기초/NNG+하/XSV+ㄴ/ETM
접할	접하/VV+ㄹ/ETM
중심	중심/NNG
비율은	비율/NNG+은/JX
조동팔의	조동팔/NNP+의/JKG
권한을	권한/NNG+을/JKO
중요하다는	중요/XR+하/XSA+다는/ETM
보고서를	보고서/NNG+를/JKO
잦은	잦/VA+은/ETM
의료	의료/NNG
옳지	옳/VA+지/EC
집안에서	집안/NNG+에서/JKB
세월	세월/NNG
공동체의	공동체/NNG+의/JKG
북한과의	북한/NNP+과/JKB+의/JKG
삼은	삼/VV+은/ETM
살짝	살짝/MAG
대법원	대/XPN+법원/NNG
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF
산골	산골/NNG
상당	상당/NNG
충격적인	충격/NNG+적/XSN+이/VCP+ㄴ/ETM
김씨의	김/NNP+씨/NNB+의/JKG
불가피하게	불가피/XR+하/XSA+게/EC
쌓여	쌓이/VV+어/EC
시인	시인/NNG
실시	실시/NNG
형성하는	형성/NNG+하/XSV+는/ETM
노태우	노태우/NNP
힘들게	힘들/VA+게/EC
살펴보자.	살펴보/VV+자/EF+./SF
기본적	기본/NNG+적/XSN
1학년	1/SN+학년/NNG
2학년	2/SN+학년/NNG
회사에서	회사/NNG+에서/JKB
허용	허용/NNG
힘들	힘들/VA+ㄹ/ETM
시기를	시기/NNG+를/JKO
팀을	팀/NNG+을/JKO
대기업	대/XPN+기업/NNG
손해를	손해/NNG+를/JKO
한정된	한정/NNG+되/XSV+ㄴ/ETM
기간을	기간/NNG+을/JKO
교육적	교육/NNG+적/XSN
확산되고	확산/NNG+되/XSV+고/EC
모순을	모순/NNG+을/JKO
드러내는	드러내/VV+는/ETM
확실하게	확실/XR+하/XSA+게/EC
정보화사회의	정보/NNG+화/XSN+사회/NNG+의/JKG
필요에	필요/NNG+에/JKB
서둘러야	서두르/VV+어야/EC
전년대비	전년/NNG+대비/NNG
준비해	준비/NNG+하/XSV+아/EC
이루었다.	이루/VV+었/EP+다/EF+./SF
탐구하는	탐구/NNG+하/XSV+는/ETM
중에도	중/NNB+에/JKB+도/JX
교육,	교육/NNG+,/SP
지난날	지난날/NNG
싶어서	싶/VX+어서/EC
내적인	내/NNG+적/XSN+이/VCP+ㄴ/ETM
생각해도	생각/NNG+하/XSV+아도/EC
중국을	중국/NNP+을/JKO
정치인	정치인/NNG
현상에	현상/NNG+에/JKB
효과는	효과/NNG+는/JX
높다는	높/VA+다는/ETM
시절에	시절/NNG+에/JKB
가운데서도	가운데/NNG+서/JKB+도/JX
美國	美國/SH
오스트리아	오스트리아/NNP
종합적으로	종합/NNG+적/XSN+으로/JKB
가치관을	가치관/NNG+을/JKO
구성하는	구성/NNG+하/XSV+는/ETM
계속된	계속/NNG+되/XSV+ㄴ/ETM
96.01.09	96/SN+./SF+01/SN+./SF+09/SN
향상을	향상/NNG+을/JKO
국가에	국가/NNG+에/JKB
돌렸다.	돌리/VV+었/EP+다/EF+./SF
29	29/SN
물질의	물질/NNG+의/JKG
내세운	내세우/VV+ㄴ/ETM
거리에서	거리/NNG+에서/JKB
이것저것	이것저것/NNG
6개	6/SN+개/NNB
낀	끼/VV+ㄴ/ETM
기대하는	기대/NNG+하/XSV+는/ETM
썩	썩/MAG
쉴	쉬/VV+ㄹ/ETM
사례도	사례/NNG+도/JX
끊이지	끊이/VV+지/EC
색다른	색다르/VA+ㄴ/ETM
아들은	아들/NNG+은/JX
장치를	장치/NNG+를/JKO
없었다고	없/VA+었/EP+다고/EC
85년	85/SN+년/NNB
사망한	사망/NNG+하/XSV+ㄴ/ETM
것같이	것/NNB+같이/JKB
줄어들고	줄어들/VV+고/EC
일부는	일부/NNG+는/JX
강제로	강제/NNG+로/JKB
회담에서	회담/NNG+에서/JKB
되어도	되/VV+어도/EC
걸리는	걸리/VV+는/ETM
쓰고,	쓰/VV+고/EC+,/SP
중이었다.	중/NNB+이/VCP+었/EP+다/EF+./SF
생기지	생기/VV+지/EC
표현한	표현/NNG+하/XSV+ㄴ/ETM
생겨난	생겨나/VV+ㄴ/ETM
적자폭이	적자/NNG+폭/NNG+이/JKS
이때부터	이때/NNG+부터/JX
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF
의원의	의원/NNG+의/JKG
믿었다.	믿/VV+었/EP+다/EF+./SF
일시적	일시/NNG+적/XSN
내게는	나/NP+에게/JKB+는/JX
내걸고	내걸/VV+고/EC
재물을	재물/NNG+을/JKO
고대의	고대/NNG+의/JKG
학교로	학교/NNG+로/JKB
없다"고	없/VA+다/EC+"/SS+고/JKQ
파악하고	파악/NNG+하/XSV+고/EC
예전에는	예전/NNG+에/JKB+는/JX
하나만	하나/NR+만/JX
뚜렷하게	뚜렷/XR+하/XSA+게/EC
자신에	자신/NNG+에/JKB
이의를	이의/NNG+를/JKO
대화의	대화/NNG+의/JKG
수산물의	수산물/NNG+의/JKG
동물의	동물/NNG+의/JKG
소재로	소재/NNG+로/JKB
아니지만,	아니/VCN+지만/EC+,/SP
모르지만,	모르/VV+지만/EC+,/SP
그칠	그치/VV+ㄹ/ETM
깊고	깊/VA+고/EC
거울	거울/NNG
갇혀	갇히/VV+어/EC
개방	개방/NNG
공산주의	공산주의/NNG
이때는	이때/NNG+는/JX
그리스도의	그리스도/NNP+의/JKG
사로잡혀	사로잡히/VV+어/EC
설치된	설치/NNG+되/XSV+ㄴ/ETM
일본,	일본/NNP+,/SP
소수의	소수/NNG+의/JKG
인류가	인류/NNG+가/JKS
마주	마주/MAG
말씀	말씀/NNG
문이	문/NNG+이/JKS
바깥	바깥/NNG
밝고	밝/VA+고/EC
평생을	평생/NNG+을/JKO
인식해야	인식/NNG+하/XSV+아야/EC
비어	비/VV+어/EC
단어를	단어/NNG+를/JKO
야,	야/IC+,/SP
배워	배우/VV+어/EC
위기의	위기/NNG+의/JKG
쪽에서	쪽/NNB+에서/JKB
박힌	박히/VV+ㄴ/ETM
벌여	벌이/VV+어/EC
박사	박사/NNG
민속	민속/NNG
분은	분/NNB+은/JX
"그런	"/SS+그런/MM
눈물	눈물/NNG
다닌	다니/VV+ㄴ/ETM
돕기	돕/VV+기/ETN
보기에는	보/VV+기/ETN+에/JKB+는/JX
언론에	언론/NNG+에/JKB
선물을	선물/NNG+을/JKO
편리한	편리/NNG+하/XSA+ㄴ/ETM
과학적인	과학/NNG+적/XSN+이/VCP+ㄴ/ETM
소년단	소년단/NNG
원칙으로	원칙/NNG+으로/JKB
따질	따지/VV+ㄹ/ETM
빠지게	빠지/VV+게/EC
책에	책/NNG+에/JKB
승부를	승부/NNG+를/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF
지난해의	지난해/NNG+의/JKG
기초를	기초/NNG+를/JKO
죽지	죽/VV+지/EC
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF
질이	질/NNG+이/JKS
제정	제정/NNG
조상	조상/NNG
적힌	적히/VV+ㄴ/ETM
조정	조정/NNG
다루고	다루/VV+고/EC
줄일	줄이/VV+ㄹ/ETM
찍고	찍/VV+고/EC
텔레비전	텔레비전/NNG
종교적인	종교/NNG+적/XSN+이/VCP+ㄴ/ETM
요구	요구/NNG
어른	어른/NNG
"응,	"/SS+응/IC+,/SP
앉는다.	앉/VV+는다/EF+./SF
전용	전용/NNG
전망	전망/NNG
디지털	디지털/NNG
자녀	자녀/NNG
의원들이	의원/NNG+들/XSN+이/JKS
쉬고	쉬/VV+고/EC
기업을	기업/NNG+을/JKO
손님	손/NNG+님/XSN
서는	서/VV+는/ETM
산수	산수/NNG
제조업의	제조업/NNG+의/JKG
선배	선배/NNG
실천	실천/NNG
불행을	불행/NNG+을/JKO
실어	싣/VV+어/EC
당당하게	당당/MAG+하/XSA+게/EC
증가율을	증가/NNG+율/XSN+을/JKO
전문가들의	전문가/NNG+들/XSN+의/JKG
만큼,	만큼/NNB+,/SP
들어가지	들어가/VV+지/EC
흐름에	흐름/NNG+에/JKB
올라갔다.	올라가/VV+았/EP+다/EF+./SF
구하는	구하/VV+는/ETM
한낱	한낱/MAG
그런가	그렇/VA+ㄴ가/EC
중소기업의	중소기업/NNG+의/JKG
과제다.	과제/NNG+이/VCP+다/EF+./SF
지시에	지시/NNG+에/JKB
명분을	명분/NNG+을/JKO
홍콩	홍콩/NNP
증가하는	증가/NNG+하/XSV+는/ETM
그림에	그림/NNG+에/JKB
때처럼	때/NNG+처럼/JKB
1천만	1/SN+천만/NR
어른들의	어른/NNG+들/XSN+의/JKG
소극적인	소극/NNG+적/XSN+이/VCP+ㄴ/ETM
96.02.06	96/SN+./SF+02/SN+./SF+06/SN
행사는	행사/NNG+는/JX
드러나고	드러나/VV+고/EC
네트워크	네트워크/NNG
택시를	택시/NNG+를/JKO
하나다.	하나/NR+이/VCP+다/EF+./SF
기관의	기관/NNG+의/JKG
테니까	터/NNB+이/VCP+니까/EC
공식적인	공식/NNG+적/XSN+이/VCP+ㄴ/ETM
시달리고	시달리/VV+고/EC
21세기	21/SN+세기/NNG
무리를	무리/NNG+를/JKO
보이기도	보이/VV+기/ETN+도/JX
18세기	18/SN+세기/NNG
지경에	지경/NNB+에/JKB
내려오는	내려오/VV+는/ETM
죽으면	죽/VV+으면/EC
지나간	지나가/VV+ㄴ/ETM
줄이기	줄이/VV+기/ETN
명확한	명확/XR+하/XSA+ㄴ/ETM
노력하는	노력/NNG+하/XSV+는/ETM
제출한	제출/NNG+하/XSV+ㄴ/ETM
현실로	현실/NNG+로/JKB
경영을	경영/NNG+을/JKO
스트레스를	스트레스/NNG+를/JKO
헤아릴	헤아리/VV+ㄹ/ETM
고사를	고사/NNG+를/JKO
오늘날까지	오늘날/NNG+까지/JX
계획이라고	계획/NNG+이/VCP+라고/EC
삼았다.	삼/VV+았/EP+다/EF+./SF
라디오	라디오/NNG
활동은	활동/NNG+은/JX
하더라도,	하/VV+더라도/EC+,/SP
거주하는	거주/NNG+하/XSV+는/ETM
김대통령이	김/NNP+대통령/NNG+이/JKS
거치면서	거치/VV+면서/EC
집집마다	집집/NNG+마다/JX
편안하게	편안/NNG+하/XSA+게/EC
시점에	시점/NNG+에/JKB
인플레이션율	인플레이션/NNG+율/XSN
노력의	노력/NNG+의/JKG
관례를	관례/NNG+를/JKO
담당하고	담당/NNG+하/XSV+고/EC
고려의	고려/NNP+의/JKG
운영하고	운영/NNG+하/XSV+고/EC
경우이다.	경우/NNG+이/VCP+다/EF+./SF
행위에	행위/NNG+에/JKB
일상생활에서	일상생활/NNG+에서/JKB
않았다면	않/VX+았/EP+다면/EC
아래에서	아래/NNG+에서/JKB
움직이고	움직이/VV+고/EC
고비를	고비/NNG+를/JKO
생각으로	생각/NNG+으로/JKB
윤희가	윤희/NNP+가/JKS
전문가	전문가/NNG
세대의	세대/NNG+의/JKG
나서지	나서/VV+지/EC
둘째로	둘째/NR+로/JKB
감독을	감독/NNG+을/JKO
시작해서	시작/NNG+하/XSV+아서/EC
2만	2/SN+만/NR
5공	5/SN+공/NNG
사업은	사업/NNG+은/JX
코	코/NNG
절박한	절박/XR+하/XSA+ㄴ/ETM
초기에	초기/NNG+에/JKB
자체로	자체/NNG+로/JKB
이하는	이하/NNG+는/JX
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF
깨달았다.	깨닫/VV+았/EP+다/EF+./SF
이야기로	이야기/NNG+로/JKB
KBS	KBS/SL
들으면	듣/VV+으면/EC
14대	14/SN+대/NNB
40대	40/SN+대/NNB
발목을	발목/NNG+을/JKO
10시	10/SN+시/NNB
76년	76/SN+년/NNB
미소를	미소/NNG+를/JKO
적용될	적용/NNG+되/XSV+ㄹ/ETM
공격을	공격/NNG+을/JKO
신부집에	신부/NNG+집/NNG+에/JKB
이르러서는	이르/VV+어서/EC+는/JX
사내의	사내/NNG+의/JKG
해결해	해결/NNG+하/XSV+아/EC
차례에	차례/NNG+에/JKB
안타까운	안타깝/VA+ㄴ/ETM
보고를	보고/NNG+를/JKO
입술을	입술/NNG+을/JKO
인식은	인식/NNG+은/JX
공개적으로	공개/NNG+적/XSN+으로/JKB
사과를	사과/NNG+를/JKO
원칙적으로	원칙/NNG+적/XSN+으로/JKB
노동력을	노동력/NNG+을/JKO
90년의	90/SN+년/NNB+의/JKG
장소에	장소/NNG+에/JKB
위해선	위하/VV+아서/EC+ㄴ/JX
보람을	보람/NNG+을/JKO
웬만한	웬만/XR+하/XSA+ㄴ/ETM
칭찬을	칭찬/NNG+을/JKO
포기한	포기/NNG+하/XSV+ㄴ/ETM
김총재는	김/NNP+총재/NNG+는/JX
인격을	인격/NNG+을/JKO
확대하는	확대/NNG+하/XSV+는/ETM
없었지만	없/VA+었/EP+지만/EC
말인가?	말/NNG+이/VCP+ㄴ가/EF+?/SF
여부에	여부/NNG+에/JKB
기초	기초/NNG
깎아	깎/VV+아/EC
여부는	여부/NNG+는/JX
던지고	던지/VV+고/EC
당하고	당하/VV+고/EC
김씨	김/NNP+씨/NNB
외치는	외치/VV+는/ETM
언어에	언어/NNG+에/JKB
교감	교감/NNG
갈아	갈/VV+아/EC
범위가	범위/NNG+가/JKS
각국	각국/NNG
지나갔다.	지나가/VV+았/EP+다/EF+./SF
없어진	없/VA+어/EC+지/VX+ㄴ/ETM
박찬호는	박찬호/NNP+는/JX
동안은	동안/NNG+은/JX
연습을	연습/NNG+을/JKO
일부에서는	일부/NNG+에서/JKB+는/JX
용납할	용납/NNG+하/XSV+ㄹ/ETM
소식이다.	소식/NNG+이/VCP+다/EF+./SF
쇄국의	쇄국/NNG+의/JKG
당시에는	당시/NNG+에/JKB+는/JX
바랄	바라/VV+ㄹ/ETM
무얼	무엇/NP+ㄹ/JKO
묻은	묻/VV+은/ETM
사회,	사회/NNG+,/SP
욕망의	욕망/NNG+의/JKG
프랑스를	프랑스/NNP+를/JKO
번쩍	번쩍/MAG
밖을	밖/NNG+을/JKO
관계에서	관계/NNG+에서/JKB
병에	병/NNG+에/JKB
농업	농업/NNG
놈은	놈/NNB+은/JX
잊어서는	잊/VV+어서/EC+는/JX
늦은	늦/VA+은/ETM
누구든지	누구/NP+이/VCP+든지/EC
어려워	어렵/VA+어/EC
설명해	설명/NNG+하/XSV+아/EC
사진은	사진/NNG+은/JX
일시적으로	일시/NNG+적/XSN+으로/JKB
변하는	변하/VV+는/ETM
사정은	사정/NNG+은/JX
바,	바/NNB+,/SP
뛰고	뛰/VV+고/EC
근대로의	근대/NNG+로/JKB+의/JKG
생일을	생일/NNG+을/JKO
딛고	딛/VV+고/EC
듣자	듣/VV+자/EC
가격을	가격/NNG+을/JKO
중세에서	중세/NNG+에서/JKB
추석	추석/NNG
김일성의	김일성/NNP+의/JKG
빠지는	빠지/VV+는/ETM
청소	청소/NNG
처해	처하/VV+아/EC
신랑의	신랑/NNG+의/JKG
지원할	지원/NNG+하/XSV+ㄹ/ETM
지적을	지적/NNG+을/JKO
지정	지정/NNG
지쳐	지치/VV+어/EC
잡혀	잡히/VV+어/EC
조지	조지/NNP
부정하는	부정/NNG+하/XSV+는/ETM
제한	제한/NNG
줄은	줄/NNB+은/JX
철거	철거/NNG
다르지	다르/VA+지/EC
예상	예상/NNG
책)	책/NNG+)/SS
여당	여당/NNG
실시된	실시/NNG+되/XSV+ㄴ/ETM
양반	양반/NNG
시신을	시신/NNG+을/JKO
재미있게	재미있/VA+게/EC
마시며	마시/VV+며/EC
1시간	1/SN+시간/NNG
참가하는	참가/NNG+하/XSV+는/ETM
시절,	시절/NNG+,/SP
저를	저/NP+를/JKO
입시	입시/NNG
이루	이루/MAG
이것	이것/NP
점,	점/NNB+,/SP
선생	선생/NNG
소득	소득/NNG
상품	상품/NNG
성장	성장/NNG
성공	성공/NNG
사과	사과/NNG
시집	시집/NNG
시일	시일/NNG
기인한	기인/NNG+하/XSV+ㄴ/ETM
1백억	1/SN+백억/NR
현저히	현저히/MAG
프로그램의	프로그램/NNG+의/JKG
들어가고	들어가/VV+고/EC
어디에서	어디/NP+에서/JKB
제2세계의	제/XPN+2/SN+세계/NNG+의/JKG
모자라는	모자라/VV+는/ETM
아침부터	아침/NNG+부터/JX
옛날에는	옛날/NNG+에/JKB+는/JX
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF
취약한	취약/XR+하/XSA+ㄴ/ETM
교회는	교회/NNG+는/JX
수사에	수사/NNG+에/JKB
국민회의가	국민회의/NNP+가/JKS
부탁을	부탁/NNG+을/JKO
집단은	집단/NNG+은/JX
전개하는	전개/NNG+하/XSV+는/ETM
숫자를	숫자/NNG+를/JKO
해결	해결/NNG
진실한	진실/NNG+하/XSA+ㄴ/ETM
행한	행하/VV+ㄴ/ETM
다같이	다/MAG+같이/MAG
단계의	단계/NNG+의/JKG
아닌가?	아니/VCN+ㄴ가/EF+?/SF
사무실에	사무실/NNG+에/JKB
대교구	대/XPN+교구/NNG
텐데	터/NNB+이/VCP+ㄴ데/EC
충실한	충실/NNG+하/XSA+ㄴ/ETM
통장	통장/NNG
평가	평가/NNG
스님의	스님/NNG+의/JKG
극복할	극복/NNG+하/XSV+ㄹ/ETM
상승세를	상승세/NNG+를/JKO
실천하는	실천/NNG+하/XSV+는/ETM
못지않게	못지않/VA+게/EC
받아들이고	받아들이/VV+고/EC
노선을	노선/NNG+을/JKO
구속된	구속/NNG+되/XSV+ㄴ/ETM
북한에서	북한/NNP+에서/JKB
